current annual sample size,survey
315,Spring Trawl 
275,Fall Trawl
146,SEAMAP  BLL
150,NMFS BLL
1359,Camera/Reef (ALL) 
51,Sum_Plank_Bongo
51,Sum_Plank_Neuston
66,Fall_Plank_Bongo
66,Fall_Plak_Neust
111,NMFS Small Pelagics
