current_annual_size,survey,cost_per_survey,max_annual_size
315,summer_trawl,2910,346
275,fall_trawl,3414,302
146,seamap_bll,2830,160
150,nmfs_bll,3600,165
1359,camera_reef,1871,1494
51,sum_plank_bongo,1854,56
51,sum_plank_neuston,1854,56
66,fall_plank_bongo,2555,72
66,fall_plank_neust,2555,72
111,nmfs_small_pelagics,4172,122
